 Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
 937.0000000000  -1.0780185076e-02  1.4487639561e-19  4.8883715705e-03  4.9080376240e-03  
 937.5000000000  -1.0798369112e-02  5.8986926529e-19  4.8883715705e-03  4.9080376355e-03  
 938.0000000000  -1.0816308187e-02  2.4184483934e-19  4.8883715705e-03  4.9080376471e-03  
 938.5000000000  -1.0834001891e-02  9.7137739257e-19  4.8883715705e-03  4.9080376586e-03  
 939.0000000000  -1.0851449817e-02  -6.9937817656e-19  4.8883715705e-03  4.9080376701e-03  
 939.5000000000  -1.0868651567e-02  -9.6643519870e-19  4.8883715705e-03  4.9080376817e-03  
 940.0000000000  -1.0885606745e-02  1.3504669795e-19  4.8883715705e-03  4.9080376932e-03  
 940.5000000000  -1.0902314963e-02  -9.3846618355e-20  4.8883715705e-03  4.9080377047e-03  
 941.0000000000  -1.0918775837e-02  -2.7335023732e-19  4.8883715705e-03  4.9080377163e-03  
 941.5000000000  -1.0934988990e-02  2.3798276564e-19  4.8883715705e-03  4.9080377278e-03  
 942.0000000000  -1.0950954049e-02  -2.4455098514e-19  4.8883715705e-03  4.9080377393e-03  
 942.5000000000  -1.0966670649e-02  2.2606038012e-19  4.8883715705e-03  4.9080377508e-03  
 943.0000000000  -1.0982138427e-02  -2.8243452143e-19  4.8883715705e-03  4.9080377624e-03  
 943.5000000000  -1.0997357030e-02  -1.0299695672e-19  4.8883715705e-03  4.9080377739e-03  
 944.0000000000  -1.1012326107e-02  -2.0707838392e-19  4.8883715705e-03  4.9080377854e-03  
 944.5000000000  -1.1027045315e-02  3.0791553458e-19  4.8883715705e-03  4.9080377970e-03  
 945.0000000000  -1.1041514315e-02  -2.4769995822e-19  4.8883715705e-03  4.9080378085e-03  
 945.5000000000  -1.1055732775e-02  -1.3826780956e-19  4.8883715705e-03  4.9080378200e-03  
 946.0000000000  -1.1069700368e-02  2.5532537684e-19  4.8883715705e-03  4.9080378316e-03  
 946.5000000000  -1.1083416772e-02  -1.7774139378e-19  4.8883715705e-03  4.9080378431e-03  
