!<<<<<<< HEAD
! Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
!=======
! #Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
!>>>>>>> 8efd9dd429f521cc4ae756838755d8556a6a6f48
 78.5000000000  -1.3838401858e-06  -2.0850121315e-24  8.5274026101e-04  8.3236691808e-04  
 79.0000000000  -1.4273454089e-06  1.7340881754e-20  8.5274026101e-04  8.3236694753e-04  
 79.5000000000  -1.4719161005e-06  1.3987051698e-19  8.5274026101e-04  8.3236697822e-04  
 80.0000000000  -1.5175707558e-06  1.7349352602e-20  8.5274026101e-04  8.3236701021e-04  
 80.5000000000  -1.5643280472e-06  -1.7351503011e-20  8.5274026101e-04  8.3236704352e-04  
 81.0000000000  -1.6122068250e-06  -7.0468905788e-20  8.5274026101e-04  8.3236707822e-04  
 81.5000000000  -1.6612261162e-06  6.9395325390e-20  8.5274026101e-04  8.3236711434e-04  
 82.0000000000  -1.7114051251e-06  -1.0927061062e-21  8.5274026101e-04  8.3236715193e-04  
 82.5000000000  -1.7627632326e-06  2.2443825386e-19  8.5274026101e-04  8.3236719105e-04  
 83.0000000000  -1.8153199959e-06  1.3986423066e-19  8.5274026101e-04  8.3236723173e-04  
 83.5000000000  -1.8690951483e-06  -1.0884373372e-21  8.5274026101e-04  8.3236727405e-04  
 84.0000000000  -1.9241085990e-06  -8.6723467789e-20  8.5274026101e-04  8.3236731804e-04  
 84.5000000000  -1.9803804325e-06  -5.0961837050e-20  8.5274026101e-04  8.3236736376e-04  
 85.0000000000  -2.0379309084e-06  6.9380468193e-20  8.5274026101e-04  8.3236741127e-04  
 85.5000000000  -2.0967804614e-06  -1.2033797082e-19  8.5274026101e-04  8.3236746063e-04  
 86.0000000000  -2.1569496998e-06  6.3868672949e-24  8.5274026101e-04  8.3236751189e-04  
 86.5000000000  -2.2184594060e-06  -1.6262999501e-20  8.5274026101e-04  8.3236756511e-04  
 87.0000000000  -2.2813305363e-06  -2.0817743915e-19  8.5274026101e-04  8.3236762036e-04  
 87.5000000000  -2.3455842195e-06  3.4681763508e-20  8.5274026101e-04  8.3236767769e-04  
 88.0000000000  -2.4112417568e-06  -8.6738291898e-20  8.5274026101e-04  8.3236773718e-04  
 88.5000000000  -2.4783246219e-06  6.8294149473e-20  8.5274026101e-04  8.3236779888e-04  
 89.0000000000  -2.5468544594e-06  1.7357822155e-20  8.5274026101e-04  8.3236786287e-04  
 89.5000000000  -2.6168530850e-06  1.2252324965e-19  8.5274026101e-04  8.3236792920e-04  
 90.0000000000  -2.6883424850e-06  -1.5612299577e-19  8.5274026101e-04  8.3236799797e-04  
 90.5000000000  -2.7613448151e-06  1.6265215828e-20  8.5274026101e-04  8.3236806922e-04  
 91.0000000000  -2.8358824001e-06  -1.7349352343e-20  8.5274026101e-04  8.3236814304e-04  
 91.5000000000  -2.9119777337e-06  8.5645553739e-20  8.5274026101e-04  8.3236821951e-04  
 92.0000000000  -2.9896534773e-06  -6.5656451379e-26  8.5274026101e-04  8.3236829870e-04  
 92.5000000000  -3.0689324591e-06  -1.6254628433e-20  8.5274026101e-04  8.3236838068e-04  
 93.0000000000  -3.1498376745e-06  6.9386820939e-20  8.5274026101e-04  8.3236846554e-04  
 93.5000000000  -3.2323922843e-06  -1.6260915006e-20  8.5274026101e-04  8.3236855336e-04  
 94.0000000000  -3.3166196144e-06  6.9389004697e-20  8.5274026101e-04  8.3236864422e-04  
 94.5000000000  -3.4025431549e-06  6.9388939556e-20  8.5274026101e-04  8.3236873821e-04  
 95.0000000000  -3.4901865597e-06  -3.6320561072e-19  8.5274026101e-04  8.3236883541e-04  
 95.5000000000  -3.5795736456e-06  1.7337638948e-20  8.5274026101e-04  8.3236893592e-04  
 96.0000000000  -3.6707283907e-06  1.0756656676e-21  8.5274026101e-04  8.3236903981e-04  
 96.5000000000  -3.7636749350e-06  6.9387879733e-20  8.5274026101e-04  8.3236914719e-04  
 97.0000000000  -3.8584375781e-06  5.0956443318e-20  8.5274026101e-04  8.3236925815e-04  
 97.5000000000  -3.9550407797e-06  -2.2552152959e-19  8.5274026101e-04  8.3236937279e-04  
 98.0000000000  -4.0535091573e-06  2.0925049041e-19  8.5274026101e-04  8.3236949119e-04  
 98.5000000000  -4.1538674864e-06  1.5504097736e-19  8.5274026101e-04  8.3236961347e-04  
 99.0000000000  -4.2561406991e-06  6.8305067737e-20  8.5274026101e-04  8.3236973972e-04  
 99.5000000000  -4.3603538835e-06  -1.3876954010e-19  8.5274026101e-04  8.3236987004e-04  
 100.0000000000  -4.4665322818e-06  5.2037534770e-20  8.5274026101e-04  8.3237000454e-04  
 100.5000000000  -4.5747012906e-06  1.5504904960e-19  8.5274026101e-04  8.3237014333e-04  
 101.0000000000  -4.6848864588e-06  1.8442024327e-20  8.5274026101e-04  8.3237028652e-04  
 101.5000000000  -4.7971134874e-06  -7.0473671126e-20  8.5274026101e-04  8.3237043422e-04  
 102.0000000000  -4.9114082279e-06  1.3986406497e-19  8.5274026101e-04  8.3237058654e-04  
 102.5000000000  -5.0277966814e-06  6.9397409369e-20  8.5274026101e-04  8.3237074359e-04  
 103.0000000000  -5.1463049977e-06  1.3877364343e-19  8.5274026101e-04  8.3237090550e-04  
 103.5000000000  -5.2669594739e-06  1.9081852356e-19  8.5274026101e-04  8.3237107237e-04  
 104.0000000000  -5.3897865531e-06  -1.6265216342e-20  8.5274026101e-04  8.3237124434e-04  
 104.5000000000  -5.5148128243e-06  1.5504296259e-19  8.5274026101e-04  8.3237142153e-04  
 105.0000000000  -5.6420650200e-06  8.6736174829e-20  8.5274026101e-04  8.3237160406e-04  
 105.5000000000  -5.7715700155e-06  1.6260915009e-20  8.5274026101e-04  8.3237179206e-04  
 106.0000000000  -5.9033548279e-06  -5.2033233950e-20  8.5274026101e-04  8.3237198566e-04  
 106.5000000000  -6.0374466146e-06  5.0961737789e-20  8.5274026101e-04  8.3237218499e-04  
 107.0000000000  -6.1738726722e-06  8.6736173797e-20  8.5274026101e-04  8.3237239018e-04  
 107.5000000000  -6.3126604352e-06  1.5612511387e-19  8.5274026101e-04  8.3237260138e-04  
 108.0000000000  -6.4538374748e-06  -6.5655441639e-26  8.5274026101e-04  8.3237281871e-04  
 108.5000000000  -6.5974314975e-06  1.5504944717e-19  8.5274026101e-04  8.3237304232e-04  
 109.0000000000  -6.7434703437e-06  1.3769367539e-19  8.5274026101e-04  8.3237327236e-04  
 109.5000000000  -6.8919819869e-06  1.0654084271e-23  8.5274026101e-04  8.3237350896e-04  
 110.0000000000  -7.0429945316e-06  1.2142210681e-19  8.5274026101e-04  8.3237375227e-04  
 110.5000000000  -7.1965362123e-06  6.6174449991e-26  8.5274026101e-04  8.3237400245e-04  
 111.0000000000  -7.3526353925e-06  6.8289979966e-20  8.5274026101e-04  8.3237425964e-04  
 111.5000000000  -7.5113205624e-06  1.0884373392e-21  8.5274026101e-04  8.3237452401e-04  
 112.0000000000  -7.6726203383e-06  -8.7818324046e-20  8.5274026101e-04  8.3237479569e-04  
 112.5000000000  -7.8365634609e-06  7.1548806878e-20  8.5274026101e-04  8.3237507486e-04  
 113.0000000000  -8.0031787936e-06  -3.4690234357e-20  8.5274026101e-04  8.3237536168e-04  
 113.5000000000  -8.1724953214e-06  -1.3660305481e-19  8.5274026101e-04  8.3237565630e-04  
 114.0000000000  -8.3445421493e-06  2.0816681815e-19  8.5274026101e-04  8.3237595889e-04  
 114.5000000000  -8.5193485007e-06  5.2048056513e-20  8.5274026101e-04  8.3237626962e-04  
 115.0000000000  -8.6969437157e-06  -5.0946980371e-20  8.5274026101e-04  8.3237658866e-04  
 115.5000000000  -8.8773572500e-06  6.3522321360e-24  8.5274026101e-04  8.3237691619e-04  
 116.0000000000  -9.0606186732e-06  -1.3768732316e-19  8.5274026101e-04  8.3237725237e-04  
 116.5000000000  -9.2467576672e-06  -1.3986208128e-19  8.5274026101e-04  8.3237759738e-04  
 117.0000000000  -9.4358040242e-06  -6.9386755282e-20  8.5274026101e-04  8.3237795141e-04  
 117.5000000000  -9.6277876459e-06  -6.7218417114e-20  8.5274026101e-04  8.3237831463e-04  
 118.0000000000  -9.8227385411e-06  -5.2043755172e-20  8.5274026101e-04  8.3237868723e-04  
 118.5000000000  -1.0020686825e-05  -8.5359909747e-24  8.5274026101e-04  8.3237906939e-04  
 119.0000000000  -1.0221662716e-05  1.4202843370e-19  8.5274026101e-04  8.3237946131e-04  
 119.5000000000  -1.0425696535e-05  -1.4093781261e-19  8.5274026101e-04  8.3237986317e-04  
 120.0000000000  -1.0632818706e-05  1.5612292909e-19  8.5274026101e-04  8.3238027517e-04  
 120.5000000000  -1.0843059749e-05  -1.7353522364e-20  8.5274026101e-04  8.3238069750e-04  
 121.0000000000  -1.1056450283e-05  1.3987055058e-19  8.5274026101e-04  8.3238113037e-04  
 121.5000000000  -1.1273021022e-05  2.6129272305e-19  8.5274026101e-04  8.3238157396e-04  
 122.0000000000  -1.1492802775e-05  -1.3660100340e-19  8.5274026101e-04  8.3238202849e-04  
 122.5000000000  -1.1715826442e-05  4.1632304632e-19  8.5274026101e-04  8.3238249416e-04  
 123.0000000000  -1.1942123014e-05  -1.3770439720e-19  8.5274026101e-04  8.3238297118e-04  
 123.5000000000  -1.2171723570e-05  1.0193194486e-19  8.5274026101e-04  8.3238345976e-04  
 124.0000000000  -1.2404659276e-05  -1.6252444671e-20  8.5274026101e-04  8.3238396011e-04  
 124.5000000000  -1.2640961384e-05  3.4688116772e-20  8.5274026101e-04  8.3238447244e-04  
 125.0000000000  -1.2880661228e-05  -1.7349418517e-20  8.5274026101e-04  8.3238499698e-04  
 125.5000000000  -1.3123790222e-05  1.3662012679e-19  8.5274026101e-04  8.3238553393e-04  
 126.0000000000  -1.3370379863e-05  2.1847907929e-24  8.5274026101e-04  8.3238608353e-04  
 126.5000000000  -1.3620461721e-05  -1.3660953991e-19  8.5274026101e-04  8.3238664600e-04  
 127.0000000000  -1.3874067447e-05  -1.3877999566e-19  8.5274026101e-04  8.3238722156e-04  
