 Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
 346.5000000000  -1.1508869639e-02  -2.5267629336e-19  4.2496152608e-03  4.2666003151e-03  
 347.0000000000  -1.1505791264e-02  -4.4384530794e-20  4.2496152608e-03  4.2666003226e-03  
 347.5000000000  -1.1502514902e-02  -2.7769955233e-19  4.2496152608e-03  4.2666003301e-03  
 348.0000000000  -1.1499040609e-02  1.3877946626e-19  4.2496152608e-03  4.2666003376e-03  
 348.5000000000  -1.1495368442e-02  1.2149848372e-19  4.2496152608e-03  4.2666003451e-03  
 349.0000000000  -1.1491498462e-02  3.5642749365e-20  4.2496152608e-03  4.2666003526e-03  
 349.5000000000  -1.1487430735e-02  -2.4286087407e-19  4.2496152608e-03  4.2666003602e-03  
 350.0000000000  -1.1483165330e-02  -1.0908837239e-20  4.2496152608e-03  4.2666003677e-03  
 350.5000000000  -1.1478702317e-02  3.2085606000e-19  4.2496152608e-03  4.2666003752e-03  
 351.0000000000  -1.1474041772e-02  -1.0153766097e-21  4.2496152608e-03  4.2666003827e-03  
 351.5000000000  -1.1469183775e-02  -1.3051308663e-19  4.2496152608e-03  4.2666003902e-03  
 352.0000000000  -1.1464128405e-02  -1.2949955858e-19  4.2496152608e-03  4.2666003978e-03  
 352.5000000000  -1.1458875750e-02  -2.1413006012e-19  4.2496152608e-03  4.2666004053e-03  
 353.0000000000  -1.1453425899e-02  -1.7347448172e-19  4.2496152608e-03  4.2666004128e-03  
 353.5000000000  -1.1447778942e-02  -2.4672283871e-19  4.2496152608e-03  4.2666004203e-03  
 354.0000000000  -1.1441934976e-02  3.0322720456e-20  4.2496152608e-03  4.2666004278e-03  
 354.5000000000  -1.1435894101e-02  4.8434379370e-21  4.2496152608e-03  4.2666004354e-03  
 355.0000000000  -1.1429656417e-02  -5.4294811900e-21  4.2496152608e-03  4.2666004429e-03  
 355.5000000000  -1.1423222033e-02  -8.1857229910e-20  4.2496152608e-03  4.2666004504e-03  
 356.0000000000  -1.1416591056e-02  7.7517311984e-20  4.2496152608e-03  4.2666004579e-03  
